"N64_AS","N100_AS","N225_AS","N400_AS","N900_AS","N64_Bi","N100_Bi","N225_Bi","N400_Bi","N900_Bi"
1.7325,1.8072,1.86631111111111,1.9024,1.93715555555556,2.315,2.3984,2.47253333333333,2.5436,2.58168888888889
1.72625,1.8,1.86417777777778,1.9022,1.93662222222222,2.31,2.4,2.46968888888889,2.543,2.5816
1.7175,1.796,1.86026666666667,1.8996,1.93644444444444,2.31125,2.4024,2.46755555555556,2.543,2.58204444444444
1.70875,1.7952,1.85706666666667,1.8992,1.93608888888889,2.3175,2.3976,2.46933333333333,2.5432,2.58204444444444
1.69375,1.7888,1.85457777777778,1.8982,1.93502222222222,2.3275,2.4,2.47075555555556,2.5424,2.58186666666667
1.69,1.7888,1.85066666666667,1.8982,1.93448888888889,2.325,2.3968,2.47288888888889,2.5418,2.5816
1.68875,1.784,1.84924444444444,1.8978,1.93377777777778,2.33375,2.4008,2.4704,2.5422,2.58151111111111
1.68625,1.7832,1.84355555555556,1.8978,1.93315555555556,2.3325,2.4008,2.46897777777778,2.542,2.58097777777778
1.6825,1.7776,1.84213333333333,1.8974,1.93288888888889,2.33375,2.4016,2.46755555555556,2.542,2.58053333333333
1.66875,1.7744,1.84248888888889,1.8978,1.93244444444444,2.33625,2.3944,2.46897777777778,2.5416,2.58142222222222
1.665,1.7696,1.83573333333333,1.8952,1.93182222222222,2.3375,2.3968,2.46968888888889,2.5408,2.58115555555556
1.66375,1.764,1.83502222222222,1.8932,1.93182222222222,2.33125,2.3992,2.47004444444444,2.5416,2.58142222222222
1.6675,1.7664,1.8304,1.8924,1.93191111111111,2.32375,2.4,2.46897777777778,2.5406,2.58133333333333
1.66625,1.7672,1.82755555555556,1.8902,1.93102222222222,2.31,2.3992,2.46542222222222,2.5412,2.58115555555556
1.66,1.7664,1.82613333333333,1.8876,1.92942222222222,2.31375,2.404,2.4672,2.5424,2.58088888888889
1.64875,1.7656,1.82435555555556,1.8862,1.9288,2.31,2.3992,2.46791111111111,2.5422,2.58142222222222
1.6425,1.76,1.82222222222222,1.8846,1.92808888888889,2.31375,2.3968,2.46791111111111,2.5416,2.58088888888889
1.62125,1.7592,1.82257777777778,1.8826,1.92702222222222,2.31375,2.396,2.46684444444444,2.5428,2.58133333333333
1.60125,1.7496,1.81973333333333,1.8798,1.924,2.3125,2.3904,2.46648888888889,2.5422,2.58195555555556
1.5875,1.7528,1.81902222222222,1.8784,1.92355555555556,2.315,2.3864,2.46542222222222,2.5426,2.58177777777778
1.5775,1.7496,1.81617777777778,1.8774,1.92213333333333,2.3175,2.388,2.46968888888889,2.5414,2.5816
1.575,1.7432,1.81582222222222,1.8758,1.92142222222222,2.31625,2.384,2.46684444444444,2.5408,2.58204444444444
1.5725,1.7376,1.81475555555556,1.8746,1.92053333333333,2.31625,2.3792,2.46542222222222,2.5412,2.58195555555556
1.565,1.7312,1.80728888888889,1.8726,1.91946666666667,2.31625,2.3808,2.46577777777778,2.5416,2.58062222222222
1.54625,1.7264,1.80302222222222,1.8696,1.91813333333333,2.3175,2.3824,2.46257777777778,2.5432,2.57955555555556
1.51125,1.7088,1.79555555555556,1.8638,1.91635555555556,2.31375,2.3904,2.46008888888889,2.5454,2.57848888888889
1.4925,1.6952,1.78986666666667,1.8642,1.91511111111111,2.31625,2.3912,2.45688888888889,2.5462,2.5784
1.48875,1.6712,1.77955555555556,1.8594,1.91422222222222,2.30875,2.384,2.46186666666667,2.5424,2.57813333333333
1.4875,1.6656,1.76995555555556,1.8536,1.91271111111111,2.295,2.3824,2.46151111111111,2.5424,2.57751111111111
1.48625,1.6448,1.76,1.8506,1.91102222222222,2.29375,2.3752,2.46222222222222,2.5412,2.57724444444444
1.4675,1.6384,1.75537777777778,1.8478,1.9088,2.285,2.3848,2.46933333333333,2.5394,2.57786666666667
1.455,1.6256,1.74862222222222,1.8446,1.90755555555556,2.26875,2.3768,2.47466666666667,2.5368,2.57626666666667
1.42,1.612,1.74008888888889,1.8408,1.90497777777778,2.25375,2.3688,2.47146666666667,2.5364,2.57733333333333
1.39875,1.6008,1.73155555555556,1.8376,1.90231111111111,2.2175,2.3616,2.47075555555556,2.5348,2.5768
1.3725,1.584,1.71555555555556,1.8264,1.89902222222222,2.2175,2.34,2.47466666666667,2.5328,2.57848888888889
1.35,1.5592,1.70702222222222,1.8236,1.8968,2.21,2.3344,2.47075555555556,2.5336,2.57777777777778
1.3325,1.5408,1.69884444444444,1.8148,1.8944,2.20125,2.32,2.46613333333333,2.5308,2.5784
1.32375,1.5416,1.69386666666667,1.8112,1.89262222222222,2.19875,2.3072,2.46577777777778,2.533,2.5776
1.29375,1.5392,1.68533333333333,1.8036,1.89084444444444,2.16625,2.2848,2.46755555555556,2.5336,2.57528888888889
1.28875,1.5248,1.67537777777778,1.7956,1.8872,2.14,2.2848,2.45902222222222,2.5308,2.57608888888889
1.2725,1.5136,1.66293333333333,1.7866,1.88364444444444,2.13875,2.276,2.45582222222222,2.533,2.57484444444444
1.2525,1.4968,1.65155555555556,1.7746,1.88044444444444,2.105,2.248,2.45546666666667,2.5256,2.57297777777778
1.22625,1.4696,1.63377777777778,1.7696,1.87484444444444,2.105,2.2344,2.45013333333333,2.5258,2.57217777777778
1.195,1.4504,1.62666666666667,1.7624,1.87004444444444,2.08375,2.2152,2.43413333333333,2.523,2.57182222222222
1.15375,1.4304,1.61635555555556,1.753,1.86675555555556,2.035,2.1944,2.42488888888889,2.5178,2.57191111111111
1.15375,1.4056,1.60426666666667,1.7434,1.86195555555556,2.03,2.172,2.41848888888889,2.5126,2.56977777777778
1.1425,1.38,1.59111111111111,1.7338,1.85848888888889,2.01875,2.1408,2.41493333333333,2.5138,2.56791111111111
1.135,1.3672,1.5744,1.7268,1.85137777777778,1.98375,2.1128,2.40711111111111,2.5062,2.56844444444444
1.12625,1.344,1.56408888888889,1.7146,1.84506666666667,1.92625,2.1064,2.39466666666667,2.5014,2.56533333333333
1.13375,1.336,1.55342222222222,1.7082,1.83813333333333,1.87875,2.0912,2.39395555555556,2.5004,2.56497777777778
1.11,1.3304,1.5424,1.6858,1.83048888888889,1.85875,2.056,2.36942222222222,2.4968,2.56435555555556
1.10125,1.3104,1.52924444444444,1.6728,1.82213333333333,1.82,2.0248,2.36266666666667,2.4902,2.56115555555556
1.1075,1.3,1.51253333333333,1.6624,1.81386666666667,1.77375,2.0024,2.34702222222222,2.4842,2.56
1.105,1.2776,1.5104,1.6538,1.80426666666667,1.7225,1.9608,2.32995555555556,2.4812,2.55608888888889
1.06375,1.2728,1.488,1.639,1.79964444444444,1.73,1.9264,2.31573333333333,2.4746,2.55502222222222
1.0625,1.2608,1.47591111111111,1.6268,1.79368888888889,1.715,1.9192,2.2944,2.4608,2.55431111111111
1.065,1.2184,1.46275555555556,1.6124,1.78328888888889,1.64375,1.8904,2.27271111111111,2.4484,2.5512
1.06625,1.1856,1.44568888888889,1.5942,1.77431111111111,1.64375,1.84,2.2368,2.4418,2.54871111111111
1.06125,1.1592,1.43751111111111,1.5796,1.76373333333333,1.5775,1.8032,2.2176,2.43,2.5456
1.0625,1.1272,1.4208,1.5648,1.75324444444444,1.53,1.768,2.21084444444444,2.4194,2.53928888888889
1.04625,1.1088,1.38844444444444,1.5484,1.73973333333333,1.51125,1.748,2.16817777777778,2.4038,2.53688888888889
1.01375,1.0776,1.37493333333333,1.5318,1.7288,1.47375,1.704,2.1568,2.3864,2.5352
1.01625,1.0832,1.37813333333333,1.5148,1.71742222222222,1.42875,1.6728,2.13546666666667,2.3694,2.5272
0.965,1.0824,1.35573333333333,1.5048,1.70782222222222,1.4,1.6592,2.1184,2.3562,2.52346666666667
0.90375,1.0592,1.34506666666667,1.4942,1.70088888888889,1.36875,1.612,2.0928,2.3426,2.5192
0.88125,1.0504,1.32764444444444,1.4778,1.68791111111111,1.33,1.5904,2.06257777777778,2.3274,2.51102222222222
0.9,1.0528,1.30026666666667,1.4614,1.67715555555556,1.315,1.5768,2.02986666666667,2.3126,2.49946666666667
0.89875,1.028,1.28071111111111,1.446,1.66053333333333,1.2925,1.5696,1.98684444444444,2.289,2.48737777777778
0.8525,1.028,1.28142222222222,1.4318,1.64506666666667,1.27,1.504,1.96373333333333,2.2588,2.47751111111111
0.8625,1.0272,1.25688888888889,1.4222,1.63333333333333,1.19875,1.4504,1.93066666666667,2.2252,2.46702222222222
